PID,condition,age_group,age,gender,pre1,abb_abs1,aab_abs1,stars,stars_order,transfer_grouped_strategy,transfer_strategy,abb_abs2,aab_abs2
17,Exploration,5,5.661111111,M,0,1,1,3,"6, 9, 4, 5, 3",pattern-related,unconstrained chunking,1,1
18,Demonstration,5,5.713888889,M,1,1,1,3,"1, 3, 6, 9, 8",exploit,exploit,1,1
19,Exploration,5,5.719444444,M,1,1,1,3,"3, 6, 9, 1, 5",exploit,exploit,1,1
20,Demonstration,5,5.352777778,M,1,1,1,3,"9, 8, 7, 6, 3",pattern-related,unconstrained chunking,1,1
21,Exploration,6,6.569444444,M,1,1,1,3,"3, 6, 9, 8, 5",exploit,exploit,1,1
23,Exploration,6,6.805555556,F,1,1,1,3,"3, 9, 6, 7, 5",exploit,exploit,1,1
24,Demonstration,6,6.127777778,M,1,1,1,3,"3, 5, 6, 8, 9",pattern-related,shape matching,1,1
25,Exploration,5,5.352777778,F,1,1,1,2,"3, 9, 8, 7, 2",pattern-related,constrained chunking,1,1
26,Demonstration,5,5.552777778,F,1,1,1,2,"6, 7, 8, 9, 4",pattern-related,constrained chunking,1,1
27,Exploration,5,5.388888889,M,1,1,1,3,"4, 5, 6, 9, 3",exploit,exploit,1,1
28,Demonstration,5,5.633333333,F,1,1,1,1,"1, 2, 3, 4, 5",no strategy,sequential,1,0
29,Exploration,5,5.105555556,M,1,1,1,2,"3, 7, 6, 8, 1",pattern-related,unconstrained chunking,1,1
31,Exploration,5,5.1,F,1,1,1,1,"5, 4, 2, 1, 3",no strategy,spatial grouping,1,1
32,Demonstration,5,5.080555556,M,1,1,1,1,"1, 2, 3, 4, 5",no strategy,sequential,1,1
47,Exploration,6,6.241666667,M,1,1,1,1,"1, 2, 3, 4, 5",no strategy,sequential,1,1
48,Demonstration,6,6.241666667,M,1,1,1,1,"2, 1, 3, 4, 5",no strategy,spatial grouping,1,1
52,Exploration,5,5.636111111,F,1,1,1,3,"3, 6, 8, 9, 5",pattern-related,shape matching,1,1
53,Exploration,5,5.777777778,F,1,0,1,1,"1, 5, 6, 7, 8",pattern-related,unconstrained chunking,0,0
55,Exploration,5,5.111111111,F,1,1,1,1,"5, 4, 7, 8, 6",no strategy,spatial grouping,1,1
56,Demonstration,5,5.533333333,M,1,1,1,1,"1, 2, 3, 4, 5",no strategy,sequential,1,1
57,Demonstration,5,5.044444444,F,1,1,1,2,"9, 3, 5, 7, 8",pattern-related,unconstrained chunking,1,1
59,Exploration,5,5.341666667,M,1,1,1,2,"7, 6, 9, 8, 5",no strategy,spatial grouping,1,1
60,Demonstration,5,5.855555556,M,1,1,1,2,"3, 5, 7, 6, 4",no strategy,spatial grouping,1,1
61,Demonstration,5,5.086111111,F,1,1,1,2,"9, 8, 7, 6, 5",no strategy,sequential,1,1
63,Exploration,5,5.805555556,F,1,1,1,3,"9, 6, 3, 7, 1",exploit,exploit,1,1
65,Exploration,5,5.566666667,F,1,1,1,3,"4, 6, 9, 8, 3",pattern-related,unconstrained chunking,0,0
66,Demonstration,5,5.688888889,M,1,1,1,1,"7, 8, 3, 4, 5",pattern-related,unconstrained chunking,1,1
67,Exploration,5,5.633333333,F,1,1,1,3,"3, 5, 6, 8, 9",pattern-related,shape matching,1,1
69,Exploration,6,6.566666667,M,1,1,1,3,"9, 6, 3, 4, 2",exploit,exploit,1,1
70,Exploration,6,6.944444444,M,1,1,1,3,"3, 6, 8, 9, 7",pattern-related,unconstrained chunking,1,1
71,Exploration,6,6.2,F,1,1,1,1,"1, 8, 2, 9, 5",pattern-related,unconstrained chunking,1,1
72,Demonstration,6,6.816666667,M,1,1,1,3,"3, 5, 6, 9, 7",pattern-related,unconstrained chunking,1,1
73,Exploration,6,6.9,F,1,1,1,2,"3, 9, 7, 2, 5",pattern-related,unconstrained chunking,1,1
74,Demonstration,5,5.669444444,F,1,1,1,3,"3, 9, 6, 2, 5",exploit,exploit,1,1
